customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,MonthlyCharges_INR,TotalCharges_INR,tenure_bucket,OnlineSecurity_bin,TechSupport_bin,OnlineBackup_bin,DeviceProtection_bin,StreamingTV_bin,StreamingMovies_bin,service_count,contract_num,internet_tier,charge_per_tenure,cluster,persona_code,persona_name,persona_priority,pca_1,pca_2
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,4170.825,49052.075,13–18m,1,0,0,0,0,0,1,0,1,297.9160714285714,1,Persona B,Price-Sensitive Churners,HIGH,-1.4026525031551764,0.11164423397545582
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,1582.325,27287.8,13–18m,0,0,0,0,0,0,0,2,0,93.07794117647059,2,Persona D,Loyal High-Value,LOW,-1.7343555450784205,-2.34027530474243
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,8379.225,474371.85,49–72m,0,0,0,1,1,1,3,1,2,142.02076271186442,0,Persona C,Engaged Mid-Tier,MEDIUM,2.393259309780069,0.34586824189644766
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,8658.95,420531.05,49–72m,0,0,1,1,1,1,4,0,2,173.179,0,Persona C,Engaged Mid-Tier,MEDIUM,2.0641796220329978,1.1558312330658016
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,8809.25,224285.175,25–36m,1,1,0,1,1,1,5,0,2,338.8173076923077,1,Persona B,Price-Sensitive Churners,HIGH,1.3285144133262132,1.7113665214049065
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,9456.375,659245.025,49–72m,1,1,1,1,1,1,6,2,2,135.09107142857144,0,Persona C,Engaged Mid-Tier,MEDIUM,4.301767748482302,0.007601988454356709
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,1724.275,85416.325,49–72m,0,0,0,0,0,0,0,1,0,32.533490566037734,2,Persona D,Loyal High-Value,LOW,-1.211339758501292,-2.301397365789744
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,8909.45,616417.875,49–72m,1,0,0,1,1,1,4,2,2,123.74236111111112,0,Persona C,Engaged Mid-Tier,MEDIUM,3.6465688816788715,-0.24962226573671664
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,4609.2,44117.225,7–12m,0,1,0,1,0,0,2,0,1,419.0181818181818,1,Persona B,Price-Sensitive Churners,HIGH,-1.1918433226543637,0.3705092610381609
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,7519.175,155552.15,19–24m,0,0,1,1,0,1,3,0,2,341.78068181818185,1,Persona B,Price-Sensitive Churners,HIGH,0.37711062447635557,1.418627712058132
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,3310.775,3310.775,0–6m,0,0,0,1,0,1,2,0,1,1655.3875,3,Persona A,High-Risk New Customers,CRITICAL,-2.0490229097920327,1.0151348099189055
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,1653.3,16887.875,7–12m,0,0,0,0,0,0,0,1,0,127.17692307692307,2,Persona D,Loyal High-Value,LOW,-2.137221520340694,-1.7094318906298471
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1682.525,1682.525,0–6m,0,0,0,0,0,0,0,0,0,841.2625,2,Persona D,Loyal High-Value,LOW,-2.8940019311071,-0.5832568717322771
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,5001.65,292675.85,49–72m,0,1,1,0,0,0,2,2,1,84.77372881355932,0,Persona C,Engaged Mid-Tier,MEDIUM,1.099118773034461,-1.5388102738251466
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,4976.6,248020.05,49–72m,1,1,1,0,0,0,3,0,1,99.53200000000001,1,Persona B,Price-Sensitive Churners,HIGH,0.4472205393774438,-0.25124662255550656
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,4617.55,127805.1,25–36m,1,0,1,0,0,0,2,0,1,148.95322580645163,1,Persona B,Price-Sensitive Churners,HIGH,-0.5292127685981151,-0.07435568264135785
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,8295.725,396554.025,37–48m,0,0,1,0,1,1,3,0,2,172.82760416666667,0,Persona C,Engaged Mid-Tier,MEDIUM,1.6614736168400541,1.0552913281832035
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,2521.7,2521.7,0–6m,0,0,1,0,0,0,1,0,1,1260.85,3,Persona A,High-Risk New Customers,CRITICAL,-2.2975072465190793,0.5721441179751479
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,7535.875,531849.075,49–72m,1,1,1,1,1,1,6,2,1,103.23116438356165,0,Persona C,Engaged Mid-Tier,MEDIUM,3.3687120879047745,-1.0480654716128532
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,5402.45,91273.85,13–18m,0,0,0,0,1,1,2,0,1,300.1361111111111,1,Persona B,Price-Sensitive Churners,HIGH,-0.7798881418981943,0.3341651530897019
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,8045.224999999999,565040.325,49–72m,1,1,1,1,0,0,4,2,2,111.7392361111111,0,Persona C,Engaged Mid-Tier,MEDIUM,3.3751013473505633,-0.3966410022697099
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,7974.25,15167.775,0–6m,0,0,0,1,1,1,3,0,2,2658.0833333333335,3,Persona A,High-Risk New Customers,CRITICAL,-0.9877206578858319,3.171562026312857
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,5523.525000000001,156516.575,25–36m,1,1,1,1,0,0,4,1,1,197.26875,1,Persona B,Price-Sensitive Churners,HIGH,0.4200087823700951,-0.2585579705814702
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,1686.7,1686.7,0–6m,0,0,0,0,0,0,0,0,0,843.35,2,Persona D,Loyal High-Value,LOW,-2.8939873198153556,-0.5812766215780563
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,3778.375,3778.375,0–6m,0,0,0,0,0,0,0,0,1,1889.1875,3,Persona A,High-Risk New Customers,CRITICAL,-2.5388320502914463,1.0994760015997722
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,8341.65,605516.95,49–72m,1,1,1,0,1,0,4,2,2,114.26917808219177,0,Persona C,Engaged Mid-Tier,MEDIUM,3.548369355526291,-0.365304879562823
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,5819.95,26461.15,0–6m,0,0,0,0,0,0,0,0,2,969.9916666666667,1,Persona B,Price-Sensitive Churners,HIGH,-1.4529422399023337,1.5339225308362847
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,6245.8,296283.05,37–48m,0,0,0,1,0,0,1,0,2,132.88936170212767,1,Persona B,Price-Sensitive Churners,HIGH,0.5709846217008395,0.5710147530865455
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,8880.225,296362.375,25–36m,0,0,1,1,1,1,4,0,2,253.7207142857143,1,Persona B,Price-Sensitive Churners,HIGH,1.4738053146708971,1.4688011824158949
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,8170.474999999999,92300.9,7–12m,0,0,0,1,1,1,3,0,2,680.8729166666666,1,Persona B,Price-Sensitive Churners,HIGH,0.026612806314238534,1.8823393832951385
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,4137.425,39720.95,7–12m,0,0,1,0,0,0,1,1,1,376.12954545454545,1,Persona B,Price-Sensitive Churners,HIGH,-1.2048949173994392,-0.34776826538870104
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,5778.2,406841.225,49–72m,1,0,1,0,1,0,3,2,1,81.3830985915493,0,Persona C,Engaged Mid-Tier,MEDIUM,1.9878636856545084,-1.5207328818100885
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,1732.625,34923.875,13–18m,0,0,0,0,0,0,0,1,0,96.25694444444444,2,Persona D,Loyal High-Value,LOW,-1.9787265268627305,-1.784604210223584
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,6667.474999999999,405931.075,49–72m,1,1,1,1,1,0,5,2,1,104.17929687499999,0,Persona C,Engaged Mid-Tier,MEDIUM,2.486764761453204,-1.1211253247319404
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,6362.7,81951.075,13–18m,1,1,1,0,1,0,4,0,1,454.4785714285714,1,Persona B,Price-Sensitive Churners,HIGH,-0.2813664842352345,0.7869213997077013
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,7055.75,326209.45,49–72m,0,0,0,0,0,1,1,0,2,141.115,1,Persona B,Price-Sensitive Churners,HIGH,0.8291611042382241,0.670839785727879
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,4112.375,8099.5,0–6m,0,0,1,0,0,0,1,0,1,1370.7916666666667,3,Persona A,High-Risk New Customers,CRITICAL,-2.049923044717676,0.9008975998891842
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,6734.275000000001,12036.525,0–6m,0,0,0,0,1,0,1,0,2,2244.7583333333337,3,Persona A,High-Risk New Customers,CRITICAL,-1.553087267629464,2.570472396199776
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,6659.125,352186.3,49–72m,1,1,0,0,1,1,4,2,1,125.64386792452831,0,Persona C,Engaged Mid-Tier,MEDIUM,1.8946275531920078,-1.020505349221868
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,5356.525000000001,355217.35000000003,49–72m,1,1,0,1,0,0,3,2,1,76.52178571428573,0,Persona C,Engaged Mid-Tier,MEDIUM,1.7653652053358921,-1.572952349044221
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,7535.875,320535.625,37–48m,0,0,1,0,1,0,2,0,2,171.26988636363637,1,Persona B,Price-Sensitive Churners,HIGH,1.0204487806594544,0.9225075189895416
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,8274.85,119104.4,13–18m,1,0,1,0,1,1,4,0,2,517.178125,1,Persona B,Price-Sensitive Churners,HIGH,0.4825418403847637,1.8120115115029651
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,5803.25,146346.275,25–36m,1,1,0,0,1,0,3,0,1,223.20192307692307,1,Persona B,Price-Sensitive Churners,HIGH,-0.15776515340376854,0.30833937211867135
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,6734.275000000001,52880.55,7–12m,0,0,1,0,0,0,1,0,2,748.2527777777779,1,Persona B,Price-Sensitive Churners,HIGH,-0.8705334303134106,1.5833152367770604
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,6249.974999999999,372105.225,49–72m,1,1,1,1,0,1,5,1,1,102.45860655737704,0,Persona C,Engaged Mid-Tier,MEDIUM,1.9722585149437175,-0.6053227306897578
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,7970.075,146337.925,13–18m,0,0,0,0,1,1,2,0,2,419.47763157894735,1,Persona B,Price-Sensitive Churners,HIGH,0.10032459817623943,1.5170664153166697
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,8320.775,526985.2,49–72m,1,0,0,0,1,1,3,1,2,130.012109375,0,Persona C,Engaged Mid-Tier,MEDIUM,2.6183650759452775,0.2507605708187109
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,9055.575,590875.225,49–72m,0,1,1,1,1,1,5,1,2,135.15783582089554,0,Persona C,Engaged Mid-Tier,MEDIUM,3.4495960688545595,0.4659362164009803
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,2083.325,74674.05,25–36m,0,0,0,0,0,0,0,2,0,59.52357142857142,2,Persona D,Loyal High-Value,LOW,-1.2020048370491476,-2.522965098247069
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,8976.25,655783.95,49–72m,0,1,0,1,1,1,4,2,2,122.96232876712328,0,Persona C,Engaged Mid-Tier,MEDIUM,3.7818709353348274,-0.26006121989555403
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,8391.75,393042.85,37–48m,0,0,0,1,1,1,3,0,2,174.828125,0,Persona C,Engaged Mid-Tier,MEDIUM,1.6663396643561683,1.0739678168561284
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,7506.650000000001,455133.45,49–72m,0,0,1,0,1,0,2,0,2,123.05983606557378,0,Persona C,Engaged Mid-Tier,MEDIUM,1.6941500480930174,0.6335746636508441
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,3515.35,247327.0,49–72m,1,0,1,1,0,0,3,2,1,48.15547945205479,0,Persona C,Engaged Mid-Tier,MEDIUM,1.2445624028790705,-1.928154890634318
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,4542.4,79917.85,13–18m,0,1,0,1,0,0,2,1,1,239.0736842105263,1,Persona B,Price-Sensitive Churners,HIGH,-0.6038522142968005,-0.4058361623096987
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,7882.400000000001,71580.375,7–12m,0,0,0,0,1,1,2,0,2,788.24,1,Persona B,Price-Sensitive Churners,HIGH,-0.38904292608486396,1.858892980564164
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,6287.55,20382.35,0–6m,0,1,1,0,1,1,4,0,1,1571.8875,3,Persona A,High-Risk New Customers,CRITICAL,-0.9837702270336245,1.5910172200076016
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,6588.150000000001,304804.225,37–48m,0,0,1,0,0,0,1,1,2,137.253125,1,Persona B,Price-Sensitive Churners,HIGH,0.969094612421642,0.07568175075520876
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,6613.2,208516.2,25–36m,0,1,1,1,1,1,5,2,1,206.6625,0,Persona C,Engaged Mid-Tier,MEDIUM,1.3500809469666668,-0.6010288555902197
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,1682.525,77730.15,49–72m,0,0,0,0,0,0,0,2,0,32.990686274509805,2,Persona D,Loyal High-Value,LOW,-0.9687013417047948,-2.8226283095330955
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,6667.474999999999,74093.725,7–12m,1,0,0,1,0,0,2,0,2,606.1340909090909,1,Persona B,Price-Sensitive Churners,HIGH,-0.49830109362724695,1.5239397320124597
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,4095.675,4095.675,0–6m,0,1,0,0,0,0,1,0,1,2047.8375,3,Persona A,High-Risk New Customers,CRITICAL,-2.2919987895314997,1.318698426116536
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,1703.4,91069.275,49–72m,0,0,0,0,0,0,0,1,0,32.13962264150943,2,Persona D,Loyal High-Value,LOW,-1.1991045612444584,-2.3064620514436904
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,9318.6,592766.5,49–72m,1,1,0,1,1,1,5,2,2,143.36307692307693,0,Persona C,Engaged Mid-Tier,MEDIUM,3.7636309516953923,0.00046095141523271114
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,2024.875,118954.1,49–72m,0,0,0,0,0,0,0,2,0,32.14087301587302,2,Persona D,Loyal High-Value,LOW,-0.5929884099214753,-2.9320719987487274
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,5385.75,14812.9,0–6m,1,1,0,0,0,1,3,0,1,1346.4375,3,Persona A,High-Risk New Customers,CRITICAL,-1.3156433676762918,1.2309168782781172
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,9226.75,512648.25,49–72m,1,0,1,1,1,1,5,1,2,161.87280701754386,0,Persona C,Engaged Mid-Tier,MEDIUM,3.0805190778645946,0.6615478615102388
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,4646.775,224518.975,37–48m,0,0,0,0,0,1,1,1,1,98.86755319148935,1,Persona B,Price-Sensitive Churners,HIGH,0.09312449348290355,-0.9441505698043376
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,4563.275,40267.875,7–12m,1,0,1,0,0,0,2,0,1,507.0305555555555,1,Persona B,Price-Sensitive Churners,HIGH,-1.2718932426449794,0.44281757114509357
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,6241.625,176293.55000000002,25–36m,1,0,1,0,1,1,4,0,1,201.34274193548387,1,Persona B,Price-Sensitive Churners,HIGH,0.3322940614576987,0.3674027446177062
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,2162.65,101586.1,37–48m,0,0,0,0,0,0,0,1,0,47.01413043478261,2,Persona D,Loyal High-Value,LOW,-1.225456939141776,-2.1264122635509164
